pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"vic:rail:REG_PR2_vic:rail:REG_EN4_walkway_1","vic:rail:REG_PR2","vic:rail:REG_EN4","1","1","300"
"vic:rail:REG_PR2_vic:rail:REG_EN5_walkway_1","vic:rail:REG_PR2","vic:rail:REG_EN5","1","1","192"
"vic:rail:REG_PR3_vic:rail:REG_EN4_walkway_1","vic:rail:REG_PR3","vic:rail:REG_EN4","1","1","48"
"vic:rail:REG_PR3_vic:rail:REG_EN5_walkway_1","vic:rail:REG_PR3","vic:rail:REG_EN5","1","1","336"
"vic:rail:REG_PR4_vic:rail:REG_EN2_walkway_1","vic:rail:REG_PR4","vic:rail:REG_EN2","1","1","36"
"vic:rail:REG_PR4_vic:rail:REG_EN5_walkway_1","vic:rail:REG_PR4","vic:rail:REG_EN5","1","1","108"
"vic:rail:REG_EN1_15377_stairs_1","vic:rail:REG_EN1","15377","2","1","18"
"vic:rail:REG_EN2_15377_walkway_1","vic:rail:REG_EN2","15377","1","1","60"
"vic:rail:REG_EN2_vic:rail:REG_DP1_walkway_1","vic:rail:REG_EN2","vic:rail:REG_DP1","1","1","84"
"vic:rail:REG_EN3_26261_walkway_1","vic:rail:REG_EN3","26261","1","1","264"
"vic:rail:REG_EN3_15377_walkway_1","vic:rail:REG_EN3","15377","1","1","54"
"vic:rail:REG_EN4_15377_walkway_1","vic:rail:REG_EN4","15377","1","1","6"
"vic:rail:REG_EN5_26261_walkway_1","vic:rail:REG_EN5","26261","1","1","318"
"vic:rail:REG_EN5_15378_walkway_1","vic:rail:REG_EN5","15378","1","1","6"
"vic:rail:REG_EN5_vic:rail:REG_DP1_walkway_1","vic:rail:REG_EN5","vic:rail:REG_DP1","1","1","300"
"vic:rail:RUS_EN1_15391_walkway_1","vic:rail:RUS_EN1","15391","1","1","54"
"vic:rail:RUS_EN2_15391_walkway_1","vic:rail:RUS_EN2","15391","1","1","54"
"vic:rail:RUS_EN2_vic:rail:RUS_DP1_walkway_1","vic:rail:RUS_EN2","vic:rail:RUS_DP1","1","1","30"
"vic:rail:RUS_EN3_26271_walkway_1","vic:rail:RUS_EN3","26271","1","1","66"
"vic:rail:RUS_EN3_15392_walkway_1","vic:rail:RUS_EN3","15392","1","1","30"
"vic:rail:RUS_EN4_26271_walkway_1","vic:rail:RUS_EN4","26271","1","1","234"
"vic:rail:RUS_EN4_15392_walkway_1","vic:rail:RUS_EN4","15392","1","1","6"
"vic:rail:RUS_EN4_vic:rail:RUS_DP2_walkway_1","vic:rail:RUS_EN4","vic:rail:RUS_DP2","1","1","72"
"vic:rail:RUS_EN5_vic:rail:RUS_DP2_stairs_1","vic:rail:RUS_EN5","vic:rail:RUS_DP2","2","1","12"
